-35.1677757689	-56.0425197124	1.0	211.0
-35.1677757689	-56.0425197124	1.0	211.0
-35.1677757689	-56.0425197124	1.0	211.0
-35.1677757689	-56.0425197124	1.0	211.0
-35.1677757689	-56.0425197124	1.0	211.0
-35.1677757689	-56.0425197124	1.0	212.0
-35.1677757689	-56.0425197124	1.0	214.0
-35.1677757689	-56.0425197124	1.0	215.0
-35.1677757689	-56.0425197124	1.0	215.0
-35.1677757689	-56.0425197124	1.0	215.0
-35.1677757689	-56.0425197124	1.0	215.0
-35.1677757689	-56.0425197124	1.0	216.0
-35.1677757689	-56.0425197124	1.0	217.0
-35.1677757689	-56.0425197124	1.0	218.0
-35.1677757689	-56.0425197124	1.0	218.0
-35.1677757689	-56.0425197124	1.0	220.0
-35.1677757689	-56.0425197124	1.0	220.0
-35.1677757689	-56.0425197124	1.0	221.0
-35.1677757689	-56.0425197124	1.0	221.0
-35.1677757689	-56.0425197124	1.0	221.0
-35.1677757689	-56.0425197124	1.0	225.0
-35.1677757689	-56.0425197124	1.0	227.0
-35.1677757689	-56.0425197124	1.0	228.0
-35.1677757689	-56.0425197124	1.0	230.0
-35.1677757689	-56.0425197124	1.0	230.0
-35.1677757689	-56.0425197124	1.0	230.0
-35.1677757689	-56.0425197124	1.0	230.0
-35.1677757689	-56.0425197124	1.0	230.0
