50.6464590309	-28.2968999549	1	280
57.8001046897	-28.9585775602	1	280
57.3473079741	-37.0776672302	1	280
57.3473079741	-37.0776672302	1	281
54.5718102804	-26.1634570565	1	281
55.2254750123	-35.3722287491	1	281
71.3898862304	-27.4454084299	1	282.6
60.5671960995	-25.0712699739	1	285
62.1115756085	-26.5088247336	1	285
69.9279819806	-21.4405973788	1	285
56.1653987141	-27.5703444952	1	285
61.752311958	-28.2416276676	1	285
54.5718102804	-26.1634570565	1	285
62.5244139902	-24.7665542253	1	285
59.5614483497	-27.3589598536	1	285
61.8617188829	-35.6717918667	1	285
50.0185501593	-28.8746644864	1	285
58.0588044303	-30.1804200461	1	285
56.3830989866	-28.8118558898	1	285
59.8086935875	-24.346554302	1	285
57.0847120412	-42.594447955	1	286
69.0999620114	-28.8335213622	1	286
61.4223450735	-34.5273297862	1	286
61.9287619214	-25.2773713865	1	286
53.8624441455	-31.9182750295	1	287
55.3699220425	-17.3160485164	1	291
58.7667310149	-26.6527997138	1	291
61.7502160587	-31.1567013866	1	291
57.8001046897	-28.9585775602	1	293
55.5484738114	-34.1070242612	1	294
51.4020535367	-21.8698303143	1	294
53.0710659148	-23.8565128613	1	294
63.1571461801	-31.3201315093	1	294
58.9731068674	-27.8886127156	1	294
64.6296888207	-25.7198567618	1	294
57.4987474605	-37.0844517965	1	294
55.8163427224	-25.056954904	1	294
58.857451715	-21.0787506583	1	294
56.3896140833	-23.3103652801	1	295
63.2829777618	-25.4934436075	1	296
54.5203844496	-32.8011646262	1	297
52.3073841392	-29.6714215599	1	297
54.605216622	-30.4666451128	1	297
58.0588044303	-30.1804200461	1	297
65.3240360138	-31.3688035337	1	299
54.6905143683	-16.5560592877	1	299
64.3627402434	-31.9740600204	1	299
47.5900980956	-35.3515434212	1	280
40.7886073845	-28.9552216575	1	282
48.947333228	-37.7646182251	1	283
50.0653207153	-39.9389934881	1	285
41.0011761753	-35.9397001899	1	289
53.167522633	-42.9816207758	1	291
42.9934776328	-38.0822192971	1	292
46.7831245282	-33.2313800916	1	292
49.3505367929	-35.3855867652	1	292
36.7995181658	-37.1474190295	1	292
41.7779170662	-36.9290001029	1	298
47.0376518717	-57.1597676438	1	299
45.9794358512	-39.2946138873	1	300
