00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	5.843675554545631	0	nan	nan	nan	nan	nan	nan	nan	nan
1	4.0	3.3370335576723096	0	nan	nan	1.7481411930470787	0	134.510867639	235.669270924	2.6457686684189183	0.8976274753718396
2	8.0	8.464328367768841	1	93.41556098120003	0	5.120819691433663	0	-45.41514408150002	48.000416899700014	7.163281203886829	2.042461512453165
3	12.0	8.265255888728852	0	147.88956846349998	0	3.096226989250072	0	-45.41514408150002	166.695287455	0.0	3.096226989250072
4	16.0	20.976915022891337	1	160.23324480219998	0	0.899960271844118	0	-150.1347394318	49.63201576600002	8.071728892729377	7.171768620885259
5	20.0	8.094928932307997	1	20.867241903000007	0	1.5617697458421933	0	-152.82187280199997	-173.68911470499998	11.552472447893537	9.990702702051344
6	24.0	6.744058898494376	1	147.110310678	0	1.3582241990531387	0	-152.82187280199997	-5.7115621239999825	0.0	1.3582241990531387
7	28.0	3.9548609924538582	1	138.57302152699998	0	2.8330833195808287	0	-152.82187280199997	-14.248851274999993	0.0	2.8330833195808287
8	32.0	5.402257728551833	0	132.029496842	0	6.810065777293383	0	-48.384482014000014	179.586021144	9.593946863946336	2.7838810866529524
9	36.0	4.385292029664179	0	6.4216858812000055	0	1.0481882781209855	0	-48.384482014000014	-54.80616789520002	0.0	1.0481882781209855
10	48.0	7.699315060269207	1	70.518416726	0	3.4263423559710535	0	164.81188229600002	-124.66970097799998	4.181180636483146	0.7548382805120919
11	52.0	1.4538396814952763	0	84.03503965210001	0	6.797220328885758	0	164.81188229600002	80.77684264390001	0.0	6.797220328885758
12	56.0	7.7873362299507045	1	33.37273685870002	0	1.1405666065696631	0	37.06973846400001	3.697001605299988	3.8943271223224314	5.0348937288920945
13	60.0	2.701686975493909	0	36.68302024830001	0	4.554111073512773	0	127.7136455077	164.396665756	1.3376872194703857	5.891798292983158
14	64.0	5.416255576544338	0	7.371953788560006	0	1.0300482593882196	0	23.912111129099998	16.54015734053999	2.307431637328721	3.337479896716941
15	72.0	8.239595078958516	0	153.4132241044	0	3.559400249144148	0	-68.84140745899998	137.74536843660002	4.307460640801439	0.7480603916572912
16	76.0	10.781281268237606	0	178.9604197241	0	3.9436950148699417	0	-68.84140745899998	110.11901226510001	0.0	3.9436950148699417
17	84.0	10.785576448715883	0	93.83680187599998	0	1.0116954914224374	0	20.439102410000004	114.27590428599999	1.1768805067587342	2.1885759981811717
18	96.0	3.6293275001908936	1	101.06086844917002	0	3.44677558511272	0	-85.4132515667	173.52587998412997	7.047713056452334	3.600937471339614
19	104.0	2.3736605498566212	0	136.497468544	0	1.7047989217838246	0	121.14662219099998	-102.35590926500004	6.706876839442045	5.00207791765822
20	108.0	3.6622483963328296	0	28.29989077310003	0	1.5562534835993562	0	121.14662219099998	149.4465129641	0.0	1.5562534835993562
21	112.0	3.8276111574838434	0	44.51333737499999	0	2.2263617990350353	0	121.14662219099998	76.63328481599999	0.0	2.2263617990350353
22	140.0	14.5113298984262	1	49.41025840840001	0	9.425025755538467	1	-128.7650290244	-79.354770616	8.44268885275125	17.867714608289717
23	144.0	10.024130456935104	1	31.864272214599993	0	4.4936413957955095	0	-128.7650290244	-160.629301239	0.0	4.4936413957955095
24	156.0	14.709172618115392	1	27.559290467200015	0	1.6456155179562053	0	69.823280711	42.26399024379998	11.04147717064879	12.687092688604995
25	160.0	16.749573017730143	1	8.180784917900013	0	2.1893457504178833	0	69.823280711	78.00406562890001	0.0	2.1893457504178833
26	164.0	13.061322206903549	0	94.53328956600006	0	0.0118925	0	147.41109684499997	-118.05561358899996	6.760100562841936	6.771993086892928
27	168.0	7.839488940614044	0	8.983686058800004	0	3.8758346385798745	0	-26.592756992999995	-17.60907093419999	7.057889218386089	10.933723856965964
28	172.0	7.84450476167532	0	148.7367486544	0	0.01016	0	-26.592756992999995	122.14399166140001	0.0	0.01015996663402892
29	176.0	16.211940729780263	1	118.52413835799999	0	1.8034034069090499	0	42.02671067099999	-76.497427687	9.055924170596322	10.859327577505372
30	180.0	7.685293672815638	0	94.92000937530003	0	9.742810725747145	0	-10.82181866869999	-105.74182804400002	1.5581934065630216	11.301004132310167
31	184.0	8.880529718468404	0	100.51227131679997	0	0.4705743759297998	0	-163.8268687354	95.66085994780002	2.767525805714991	3.238100181644791
32	188.0	11.563552930696964	1	150.828257457	0	2.3591645839117708	0	88.000729291	-121.171013252	3.8323554287500654	1.4731908448382947
33	192.0	16.920942876961494	1	32.69694043690001	0	5.1184833775973395	0	0.2594175860000121	-32.437522850899995	7.602349232351808	2.483865854754469
34	196.0	13.748276054479021	0	4.177958877459957	0	5.408758942880059	0	158.89530438199995	154.71734550454	11.958632995621972	6.549874052741913
35	200.0	2.91351495234506	0	65.93950705129998	0	13.537549576851042	0	42.55480874700001	108.4943157983	14.802493694992037	1.2649441181409964
36	204.0	4.236719811381552	0	47.56310184750001	0	2.1970983759141474	0	54.33331162350001	6.7702097760000015	4.093271032434332	1.8961726565201846
37	208.0	4.516621281362606	0	136.3128059403	0	1.4219439074870914	0	179.395870651	-44.29132340870001	0.9017324902831766	2.323676397770268
38	212.0	5.545756457391122	0	92.13875762180001	0	2.360132988228698	0	-80.1732894449	11.965468176900004	5.383986923213558	3.02385393498486
39	216.0	4.366914052489735	1	83.35683803530003	0	2.0517260637509462	0	-54.63530283900002	28.72153519630001	6.635241702695894	4.583515638944948
